index,slug,title,scene,width,height,page_url,image_url,filename,caption
1,rainstorm-beneath-the-summit,Rainstorm Beneath the Summit,mountain peak above a dark rainstorm and streaked sky,4501,2966,https://www.wikiart.org/en/katsushika-hokusai/rainstorm-beneath-the-summit,https://uploads8.wikiart.org/images/katsushika-hokusai/rainstorm-beneath-the-summit.jpg,hokusai_01_rainstorm_beneath_the_summit.jpg,"<hokusai_style>, ukiyo-e woodblock print, mountain peak above a dark rainstorm and streaked sky, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
2,fuji-mountains-in-clear-weather-1831,Fuji Mountains in Clear Weather,mount fuji under clear weather with strong geometric slopes,4400,2937,https://www.wikiart.org/en/katsushika-hokusai/fuji-mountains-in-clear-weather-1831,https://uploads7.wikiart.org/images/katsushika-hokusai/fuji-mountains-in-clear-weather-1831.jpg,hokusai_02_fuji_mountains_in_clear_weather_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, mount fuji under clear weather with strong geometric slopes, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
3,the-fields-of-sekiya-by-the-sumida-river-1831,The Fields of Sekiya by the Sumida River,riverside fields with distant mountain and open sky,4521,3017,https://www.wikiart.org/en/katsushika-hokusai/the-fields-of-sekiya-by-the-sumida-river-1831,https://uploads7.wikiart.org/images/katsushika-hokusai/the-fields-of-sekiya-by-the-sumida-river-1831.jpg,hokusai_03_the_fields_of_sekiya_by_the_sumida_river_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, riverside fields with distant mountain and open sky, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
4,the-great-wave-of-kanagawa-1831,The Great Wave of Kanagawa,towering wave over small boats with mountain in the distance,3859,2594,https://www.wikiart.org/en/katsushika-hokusai/the-great-wave-of-kanagawa-1831,https://uploads5.wikiart.org/00129/images/katsushika-hokusai/the-great-wave-off-kanagawa.jpg,hokusai_04_the_great_wave_of_kanagawa_1831.jpg,"<hokusai_style>, ukiyo-e woodblock print, towering wave over small boats with mountain in the distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
5,shore-of-tago-bay-ejiri-at-tokaido,Shore of Tago Bay Ejiri at Tokaido,shoreline scene with broad water and distant fuji view,4515,2974,https://www.wikiart.org/en/katsushika-hokusai/shore-of-tago-bay-ejiri-at-tokaido,https://uploads5.wikiart.org/images/katsushika-hokusai/shore-of-tago-bay-ejiri-at-tokaido.jpg,hokusai_05_shore_of_tago_bay_ejiri_at_tokaido.jpg,"<hokusai_style>, ukiyo-e woodblock print, shoreline scene with broad water and distant fuji view, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
6,fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833,Fishing by Torchlight in Kai Province,night fishing boats with glowing torchlight on dark water,2781,2030,https://www.wikiart.org/en/katsushika-hokusai/fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833,https://uploads8.wikiart.org/images/katsushika-hokusai/fishing-by-torchlight-in-kai-province-from-oceans-of-wisdom-1833.jpg,hokusai_06_fishing_by_torchlight_in_kai_province_from_oceans_of_wisdom_.jpg,"<hokusai_style>, ukiyo-e woodblock print, night fishing boats with glowing torchlight on dark water, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
7,lake-suwa-in-the-shinano-province,Lake Suwa in the Shinano Province,lake view with shoreline settlement and distant mountains,4410,2938,https://www.wikiart.org/en/katsushika-hokusai/lake-suwa-in-the-shinano-province,https://uploads4.wikiart.org/images/katsushika-hokusai/lake-suwa-in-the-shinano-province.jpg,hokusai_07_lake_suwa_in_the_shinano_province.jpg,"<hokusai_style>, ukiyo-e woodblock print, lake view with shoreline settlement and distant mountains, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
8,bay-of-noboto,Bay of Noboto,quiet bay with layered shoreline and distant mountain forms,4472,2976,https://www.wikiart.org/en/katsushika-hokusai/bay-of-noboto,https://uploads2.wikiart.org/images/katsushika-hokusai/bay-of-noboto.jpg,hokusai_08_bay_of_noboto.jpg,"<hokusai_style>, ukiyo-e woodblock print, quiet bay with layered shoreline and distant mountain forms, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
9,fuji-seen-through-the-mannen-bridge-at-fukagawa,Fuji Seen Through the Mannen Bridge,large bridge framing mount fuji in the distance,4448,2959,https://www.wikiart.org/en/katsushika-hokusai/fuji-seen-through-the-mannen-bridge-at-fukagawa,https://uploads0.wikiart.org/images/katsushika-hokusai/fuji-seen-through-the-mannen-bridge-at-fukagawa.jpg,hokusai_09_fuji_seen_through_the_mannen_bridge_at_fukagawa.jpg,"<hokusai_style>, ukiyo-e woodblock print, large bridge framing mount fuji in the distance, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
10,nihonbashi-bridge-in-edo,Nihonbashi Bridge in Edo,busy bridge and river traffic in an urban print composition,4472,2912,https://www.wikiart.org/en/katsushika-hokusai/nihonbashi-bridge-in-edo,https://uploads4.wikiart.org/images/katsushika-hokusai/nihonbashi-bridge-in-edo.jpg,hokusai_10_nihonbashi_bridge_in_edo.jpg,"<hokusai_style>, ukiyo-e woodblock print, busy bridge and river traffic in an urban print composition, flat color planes, indigo-heavy palette, bold contour lines, Edo-period Japanese print composition"
